ML Model,XAI Method,Feature Name,Importance Value (Signed),Importance Value (Absolute),Feature Ranking
MLP,SHAP,Flow IAT Mean,1.7723499536514282,1.7723499536514282,5
MLP,SHAP,Bwd Packet Length Max,1.6091251373291016,1.6091251373291016,6
MLP,SHAP,Bwd Packet Length Mean,1.3733618259429932,1.3733618259429932,7
MLP,SHAP,Max Packet Length,-1.0824002027511597,1.0824002027511597,8
MLP,SHAP,Init_Win_bytes_backward,-0.37972065806388855,0.37972065806388855,9
MLP,SHAP,Avg Fwd Segment Size,0.10574483126401901,0.10574483126401901,10
MLP,LIME,Average Packet Size,0.3072195918270479,0.3072195918270479,1
MLP,LIME,Packet Length Mean,-0.11210196027653145,0.11210196027653145,2
MLP,LIME,Min Packet Length,0.06204159316146161,0.06204159316146161,3
MLP,LIME,Flow IAT Mean,0.044733736116298016,0.044733736116298016,4
MLP,LIME,Init_Win_bytes_backward,-0.04453326463675947,0.04453326463675947,5
MLP,LIME,Max Packet Length,-0.03569333603572957,0.03569333603572957,6
MLP,LIME,Bwd Packet Length Max,0.02445967164218532,0.02445967164218532,7
MLP,LIME,Flow IAT Max,-0.019480714557681588,0.019480714557681588,8
MLP,LIME,Bwd Packet Length Mean,0.013430601296466414,0.013430601296466414,9
MLP,LIME,Avg Fwd Segment Size,0.005856046766270074,0.005856046766270074,10
MLP,Saliency,Flow IAT Mean,136.42977905273438,136.42977905273438,1
MLP,Saliency,Min Packet Length,79.29621124267578,79.29621124267578,2
MLP,Saliency,Packet Length Mean,61.23127746582031,61.23127746582031,3
MLP,Saliency,Init_Win_bytes_backward,55.308074951171875,55.308074951171875,4
MLP,Saliency,Max Packet Length,49.58229064941406,49.58229064941406,5
MLP,Saliency,Bwd Packet Length Max,37.53279495239258,37.53279495239258,6
MLP,Saliency,Average Packet Size,27.533475875854492,27.533475875854492,7
MLP,Saliency,Bwd Packet Length Mean,21.39069938659668,21.39069938659668,8
MLP,Saliency,Flow IAT Max,18.904489517211914,18.904489517211914,9
MLP,Saliency,Avg Fwd Segment Size,10.405292510986328,10.405292510986328,10
MLP,DeepLIFT,Min Packet Length,3.8597095012664795,3.8597095012664795,1
MLP,DeepLIFT,Packet Length Mean,0.895279586315155,0.895279586315155,2
MLP,DeepLIFT,Bwd Packet Length Mean,0.8797036409378052,0.8797036409378052,3
MLP,DeepLIFT,Average Packet Size,0.6977179646492004,0.6977179646492004,4
MLP,DeepLIFT,Avg Fwd Segment Size,-0.4161335527896881,0.4161335527896881,5
MLP,DeepLIFT,Max Packet Length,0.21306733787059784,0.21306733787059784,6
MLP,DeepLIFT,Bwd Packet Length Max,-0.13471619784832,0.13471619784832,7
MLP,DeepLIFT,Flow IAT Mean,-0.00276402966119349,0.00276402966119349,8
MLP,DeepLIFT,Flow IAT Max,0.0017297995509579778,0.0017297995509579778,9
MLP,DeepLIFT,Init_Win_bytes_backward,-0.0,0.0,10
MLP,IG,Min Packet Length,4.025404117886415,4.025404117886415,1
MLP,IG,Packet Length Mean,0.9324117379791768,0.9324117379791768,2
MLP,IG,Bwd Packet Length Mean,0.9076191825366101,0.9076191825366101,3
MLP,IG,Average Packet Size,0.6931822275518993,0.6931822275518993,4
MLP,IG,Avg Fwd Segment Size,-0.4486208095888332,0.4486208095888332,5
MLP,IG,Max Packet Length,0.2272382920451777,0.2272382920451777,6
MLP,IG,Bwd Packet Length Max,-0.14564837805216826,0.14564837805216826,7
MLP,IG,Flow IAT Mean,-0.0028520811346346197,0.0028520811346346197,8
MLP,IG,Flow IAT Max,0.0022364357595791736,0.0022364357595791736,9
MLP,IG,Init_Win_bytes_backward,-0.0,0.0,10
